,name,ClipFrac,AverageEpRet,TotalEnvInteracts,LossV,_step,StdVVals,MaxEpRet,_runtime,AverageVVals,MinTrainCleanliness,StdTrainCleanliness,KL,LossPi,MaxVVals,MinVVals,EpLen,StopIter,DeltaLossPi,AverageTrainCleanliness,Time,Epoch,Entropy,MinEpRet,StdEpRet,DeltaLossV,_timestamp,MaxTrainCleanliness,_wandb,MaxQ1Vals,StdTestEpRet,MinCleanliness,StdLogPi,MinQ2Vals,AverageQ1Vals,LossQ,AverageLogPi,MinLogPi,StdQ1Vals,MinTestEpRet,AverageTestEpRet,StdQ2Vals,AverageQ2Vals,MaxQ2Vals,MinQ1Vals,MaxTestEpRet,AverageCleanliness,MaxLogPi,TestEpLen,StdCleanliness,MaxCleanliness,Maxcleanliness,Averagecleanliness,Mincleanliness,Averagetrain_cleanliness,Stdcleanliness,Stdtrain_cleanliness,Mintrain_cleanliness,Maxtrain_cleanliness,alpha,gamma,epochs,polyak,algorithm,batch_size,max_ep_len,learning_rate,updates_after,steps_per_epoch,num_test_episodes,lr,clip_ratio
0,driven-plasma-583,1.0,282,5400.0,23.17784309387207,5.0,0.003953209146857262,282,264.0,-0.07351487874984741,0.07050000131130219,0.0,2692.384521484375,0.24982412159442904,-0.06200524792075157,-0.08394856750965118,900,0.0,0.0,0.07050000131130219,260.64332723617554,5.0,0.9189385771751404,282,0,0.0,1655805445.0,0.07050000131130219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.83069,30.0,0.995,ppo,64.0,900.0,0.00156288,400.0,900.0,3.0,,
1,fresh-sweep-325,1.0,366,7200.0,18.576631546020508,7.0,0.004242359660565853,366,183.0,-0.09787247329950333,0.09149999916553496,0.0,9454.3271484375,0.2922978699207306,-0.08759938925504684,-0.10607191175222395,900,0.0,0.0,0.09149999916553496,180.8217544555664,7.0,0.9189385771751404,366,0,0.0,1655799372.0,0.09149999916553496,{'runtime': 181},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.7522891828105218,8.0,0.995,ppo,100.0,900.0,0.006146080164339424,400.0,900.0,3.0,0.006146080164339424,0.06430286227788976
2,divine-sweep-324,1.0,56,7200.0,14.686553001403809,7.0,0.009929412044584753,80,177.0,-0.09929494559764862,0.00800000037997961,0.029634812846779823,13186.560546875,0.23817478120326996,-0.05630432069301605,-0.10675039142370224,23,0.0,0.0,0.03466666862368584,175.8900022506714,7.0,0.9189385771751404,32,24,0.0,1655799180.0,0.07599999755620956,{'runtime': 176},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.6747552584198353,8.0,0.995,ppo,100.0,900.0,0.002948430590751758,400.0,900.0,3.0,0.002948430590751758,0.24712057713737057
3,glad-sweep-323,1.0,92,7200.0,30.45841407775879,7.0,0.0,92,179.0,1.0,0.023000000044703484,0.0689999982714653,1809.5068359375,0.3143070638179779,1.0,1.0,55,0.0,0.0,0.09200000017881392,178.2182834148407,7.0,0.9189385771751404,92,0,0.0,1655798990.0,0.16099999845027924,{'runtime': 178},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.7833628016251692,8.0,0.995,ppo,100.0,900.0,0.00254409555237732,400.0,900.0,3.0,0.00254409555237732,0.13973304640632062
4,daily-sweep-322,1.0,404,7200.0,62.02198028564453,7.0,0.0,404,164.0,1.0,0.10100000351667404,0.0,11485.8359375,0.2462322413921356,1.0,1.0,900,0.0,0.0,0.10100000351667404,161.85078191757202,7.0,0.9189385771751404,404,0,0.0,1655798799.0,0.10100000351667404,{'runtime': 163},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.9089472919331658,8.0,0.995,ppo,100.0,900.0,0.015328786174621148,400.0,900.0,3.0,0.015328786174621148,0.2774032800580601
5,dutiful-sweep-321,1.0,284,7200.0,78.35765838623047,7.0,0.0027929956559091806,284,182.0,-0.10115299373865128,0.07100000232458115,0.0,12857.1455078125,0.3274400532245636,-0.09174171835184096,-0.10612041503190994,900,0.0,0.0,0.07100000232458115,180.23672676086423,7.0,0.9189385771751404,284,0,0.0,1655798623.0,0.07100000232458115,{'runtime': 180},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.9440190279386502,8.0,0.995,ppo,100.0,900.0,0.00679485106325006,400.0,900.0,3.0,0.00679485106325006,0.11340540336930804
6,copper-sweep-320,1.0,652,7200.0,10.471182823181152,7.0,0.0,652,174.0,1.0,0.16300000250339508,0.0,3320.74853515625,0.30441829562187195,1.0,1.0,900,0.0,0.0,0.16300000250339508,171.64385509490967,7.0,0.9189385771751404,652,0,0.0,1655798432.0,0.16300000250339508,{'runtime': 172},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.6308762464029464,8.0,0.995,ppo,100.0,900.0,0.013292386655621349,400.0,900.0,3.0,0.013292386655621349,0.12774089242712694
7,denim-sweep-319,1.0,558,7200.0,22.62403678894043,7.0,0.008157102391123772,558,171.0,-0.09868013113737106,0.13950000703334808,0.0,10868.0087890625,0.31479892134666443,-0.08029801398515701,-0.1094456911087036,900,0.0,0.0,0.13950000703334808,169.38212656974792,7.0,0.9189385771751404,558,0,0.0,1655798248.0,0.13950000703334808,{'runtime': 169},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.6966608703984266,8.0,0.995,ppo,100.0,900.0,0.0034305403699361856,400.0,900.0,3.0,0.0034305403699361856,0.056965568367093024
8,legendary-sweep-318,1.0,194,7200.0,10.737343788146973,7.0,0.005747143644839525,194,190.0,-0.10374925285577774,0.048500001430511475,0.0,13012.8671875,0.22865955531597135,-0.08697172999382019,-0.11094025522470474,900,0.0,0.0,0.048500001430511475,188.42555952072144,7.0,0.9189385771751404,194,0,0.0,1655798068.0,0.048500001430511475,{'runtime': 189},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.8318189805514654,8.0,0.995,ppo,100.0,900.0,0.00988759969835492,400.0,900.0,3.0,0.00988759969835492,0.2672435931970528
9,proud-sweep-317,1.0,144,7200.0,8.190296173095703,7.0,0.0,144,179.0,1.0,0.035999998450279236,0.029249999672174457,12699.541015625,0.30545005202293396,1.0,1.0,197,0.0,0.0,0.06524999439716339,177.27085518836975,7.0,0.9189385771751404,144,0,0.0,1655797870.0,0.09449999779462814,{'runtime': 178},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.6399113173404463,8.0,0.995,ppo,100.0,900.0,0.0024267797675042125,400.0,900.0,3.0,0.0024267797675042125,0.06085142644733796
10,visionary-sweep-316,1.0,478,7200.0,35.15941619873047,7.0,0.007492167875170708,478,177.0,-0.07730548083782196,0.09049999713897704,0.014499999582767488,3243.1689453125,0.285921573638916,-0.060271184891462326,-0.09815339744091034,486,0.0,0.0,0.10499999672174454,174.89275455474854,7.0,0.9189385771751404,478,0,0.0,1655797681.0,0.11949999630451202,{'runtime': 175},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.7169171146713502,8.0,0.995,ppo,100.0,900.0,0.009498112642010444,400.0,900.0,3.0,0.009498112642010444,0.2143818460731461
11,visionary-sweep-315,1.0,438,7200.0,52.42795181274414,7.0,0.0050051212310791016,438,180.0,-0.10119210183620451,0.1094999983906746,0.0,10669.689453125,0.2599758505821228,-0.08644320070743561,-0.10646698623895644,900,0.0,0.0,0.1094999983906746,177.91744661331177,7.0,0.9189385771751404,438,0,0.0,1655797491.0,0.1094999983906746,{'runtime': 178},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.8802094088469598,8.0,0.995,ppo,100.0,900.0,0.005493235282028724,400.0,900.0,3.0,0.005493235282028724,0.3035335805107928
12,polished-sweep-314,1.0,18,7200.0,28.304372787475582,7.0,0.012393181212246418,18,180.0,-0.08678063005208969,0.0044999998062849045,0.09399999678134918,6297.20849609375,0.32024407386779785,-0.05831092223525047,-0.11039488762617113,6,0.0,0.0,0.09849999845027924,178.9953968524933,7.0,0.9189385771751404,18,0,0.0,1655797303.0,0.1924999952316284,{'runtime': 179},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.6806257317527235,8.0,0.995,ppo,100.0,900.0,0.01751039272091439,400.0,900.0,3.0,0.01751039272091439,0.1276043411309975
13,glad-sweep-313,1.0,418,7200.0,12.59280776977539,7.0,0.0,418,175.0,1.0,0.0860000029206276,0.00925000011920929,3667.33056640625,0.34891799092292786,1.0,1.0,500,0.0,0.0,0.09525000303983688,173.74868988990784,7.0,0.9189385771751404,418,0,0.0,1655797111.0,0.10450000315904616,{'runtime': 174},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.6572808913270244,8.0,0.995,ppo,100.0,900.0,0.009143034284766665,400.0,900.0,3.0,0.009143034284766665,0.06238888037279469
14,skilled-sweep-312,1.0,454,7200.0,93.18286895751952,7.0,0.006692643743008375,454,360.0,-0.09773929417133333,0.11349999904632568,0.0,11912.0361328125,0.34085536003112793,-0.07748761028051376,-0.10703028738498688,900,0.0,0.0,0.11349999904632568,356.95852637290955,7.0,0.9189385771751404,454,0,0.0,1655797224.0,0.11349999904632568,{'runtime': 358},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.915523822147702,8.0,0.995,ppo,64.0,900.0,0.001603532468872562,400.0,900.0,3.0,0.001603532468872562,0.08626185529243349
15,tough-sweep-311,1.0,92,7200.0,19.975200653076172,7.0,0.0,92,153.0,1.0,0.023000000044703484,0.045499999076128006,10761.53125,0.29195788502693176,1.0,1.0,46,0.0,0.0,0.06849999725818634,151.87480974197388,7.0,0.9189385771751404,92,0,0.0,1655796923.0,0.11400000005960464,{'runtime': 153},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.8033487106767132,8.0,0.995,ppo,100.0,900.0,0.0011057450739847883,400.0,900.0,3.0,0.0011057450739847883,0.2416595609746242
16,playful-sweep-310,1.0,414,7200.0,33.14540481567383,7.0,0.005286849103868008,414,171.0,-0.1031029373407364,0.10350000113248824,0.0,13720.0693359375,0.26178300380706787,-0.08380158990621567,-0.10847631841897964,900,0.0,0.0,0.10350000113248824,170.17853474617004,7.0,0.9189385771751404,414,0,0.0,1655796758.0,0.10350000113248824,{'runtime': 171},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.8280769985673541,8.0,0.995,ppo,100.0,900.0,0.0038385039635283344,400.0,900.0,3.0,0.0038385039635283344,0.25420911900078447
17,absurd-sweep-309,1.0,68,7200.0,120.42681121826172,7.0,0.0,68,369.0,1.0,0.017000000923871994,0.039500001817941666,8051.8291015625,0.2726527750492096,1.0,1.0,120,0.0,0.0,0.05650000274181366,366.37442207336426,7.0,0.9189385771751404,68,0,0.0,1655796852.0,0.09600000083446504,{'runtime': 367},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.9451027084345324,8.0,0.995,ppo,64.0,900.0,0.0036644786349873753,400.0,900.0,3.0,0.0036644786349873753,0.30775151012528756
18,whole-sweep-308,1.0,366,7200.0,10.739593505859377,7.0,0.003841724945232272,366,174.0,-0.10004135221242905,0.09149999916553496,0.0,9927.0732421875,0.2334442138671875,-0.08986377716064453,-0.10825139284133913,900,0.0,0.0,0.09149999916553496,172.54711270332336,7.0,0.9189385771751404,366,0,0.0,1655796579.0,0.09149999916553496,{'runtime': 173},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.6232616914655584,8.0,0.995,ppo,100.0,900.0,0.01318659372810596,400.0,900.0,3.0,0.01318659372810596,0.22038908448814096
19,absurd-sweep-307,1.0,370,7200.0,8.238290786743164,7.0,0.0,370,169.0,1.0,0.0925000011920929,0.0,12493.0322265625,0.26867204904556274,1.0,1.0,900,0.0,0.0,0.0925000011920929,167.41173267364502,7.0,0.9189385771751404,370,0,0.0,1655796397.0,0.0925000011920929,{'runtime': 168},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.6764000583977522,8.0,0.995,ppo,100.0,900.0,0.010670341873911053,400.0,900.0,3.0,0.010670341873911053,0.11081768567709097
20,quiet-sweep-306,1.0,9,7200.0,55.99612045288086,7.0,0.0,18,312.0,1.0,0.0,0.08475487679243088,4468.18994140625,0.2687801718711853,1.0,1.0,15.5,0.0,0.0,0.062166664749383926,309.40720438957214,7.0,0.9189385771751404,0,9,0.0,1655796472.0,0.181999996304512,{'runtime': 310},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.8461199794450041,8.0,0.995,ppo,64.0,900.0,0.01731234440631919,400.0,900.0,3.0,0.01731234440631919,0.2842108416715077
21,deep-sweep-305,1.0,726,7200.0,15.713693618774414,7.0,0.0,726,174.0,1.0,0.05750000104308128,0.06200000271201134,1392.77734375,0.31079328060150146,1.0,1.0,651,0.0,0.0,0.11950000375509262,172.5136361122131,7.0,0.9189385771751404,726,0,0.0,1655796215.0,0.1815000027418137,{'runtime': 173},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.6116237882309008,8.0,0.995,ppo,100.0,900.0,0.010183443122793,400.0,900.0,3.0,0.010183443122793,0.15917522173364765
22,expert-sweep-304,1.0,83.33333587646484,7200.0,23.229808807373047,7.0,0.0,140,185.0,1.0,0.010499999858438969,0.03606417775154114,1777.2373046875,0.32645806670188904,1.0,1.0,63.33333206176758,0.0,0.0,0.04100000113248825,182.8921983242035,7.0,0.9189385771751404,42,41.451446533203125,0.0,1655796033.0,0.1014999970793724,{'runtime': 183},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.780652436379137,8.0,0.995,ppo,100.0,900.0,0.0018338257442062108,400.0,900.0,3.0,0.0018338257442062108,0.10703409369006836
23,cool-sweep-303,1.0,354,7200.0,40.64994430541992,7.0,0.0,354,345.0,1.0,0.0885000005364418,0.0,1255.848388671875,0.310355544090271,1.0,1.0,900,0.0,0.0,0.0885000005364418,342.21564960479736,7.0,0.9189385771751404,354,0,0.0,1655796145.0,0.0885000005364418,{'runtime': 343},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.9057024375942304,8.0,0.995,ppo,64.0,900.0,0.00203247931934492,400.0,900.0,3.0,0.00203247931934492,0.10175468782449196
24,confused-sweep-302,1.0,374,7200.0,71.24168395996094,7.0,0.0024084066972136497,374,163.0,-0.10667778551578522,0.09350000321865082,0.0,13970.84765625,0.28633710741996765,-0.098330058157444,-0.1105998232960701,900,0.0,0.0,0.09350000321865082,160.67602968215942,7.0,0.9189385771751404,374,0,0.0,1655795838.0,0.09350000321865082,{'runtime': 161},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.9148361389554648,8.0,0.995,ppo,100.0,900.0,0.007811141322085274,400.0,900.0,3.0,0.007811141322085274,0.2206285130279372
25,deep-sweep-301,1.0,384,7200.0,5.175248622894287,7.0,0.0,384,177.0,1.0,0.09600000083446504,0.0,2595.3583984375,0.2792721688747406,1.0,1.0,900,0.0,0.0,0.09600000083446504,175.0213758945465,7.0,0.9189385771751404,384,0,0.0,1655795665.0,0.09600000083446504,{'runtime': 175},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.6025952474775853,8.0,0.995,ppo,100.0,900.0,0.0028069109315750924,400.0,900.0,3.0,0.0028069109315750924,0.12619181579642091
26,classic-sweep-300,1.0,700,7200.0,16.671463012695312,7.0,0.0,700,316.0,1.0,0.17499999701976776,0.0,3672.91845703125,0.32556214928627014,1.0,1.0,900,0.0,0.0,0.17499999701976776,312.77900671958923,7.0,0.9189385771751404,700,0,0.0,1655795788.0,0.17499999701976776,{'runtime': 314},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.6720982972080549,8.0,0.995,ppo,64.0,900.0,0.0058542586280974935,400.0,900.0,3.0,0.0058542586280974935,0.07091485391354856
27,peachy-sweep-299,1.0,314,7200.0,16.197708129882812,7.0,0.0,592,181.0,1.0,0.008999999612569809,0.05679544061422348,3181.0615234375,0.2676779329776764,1.0,1.0,233,0.0,0.0,0.08016666769981384,179.1836016178131,7.0,0.9189385771751404,36,278,0.0,1655795477.0,0.14800000190734863,{'runtime': 180},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.6034482071320554,8.0,0.995,ppo,100.0,900.0,0.014148671245678191,400.0,900.0,3.0,0.014148671245678191,0.2621531981070387
28,ancient-sweep-298,1.0,452,7200.0,47.91974639892578,7.0,0.005394161678850651,452,336.0,-0.07701551914215088,0.11299999803304672,0.0,3879.275146484375,0.2566424012184143,-0.0563281886279583,-0.08578576892614365,900,0.0,0.0,0.11299999803304672,332.7551779747009,7.0,0.9189385771751404,452,0,0.0,1655795460.0,0.11299999803304672,{'runtime': 334},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.8550074688376867,8.0,0.995,ppo,64.0,900.0,0.00619310434140056,400.0,900.0,3.0,0.00619310434140056,0.27029530945227964
29,treasured-sweep-297,1.0,448,7200.0,12.203369140625,7.0,0.0,448,168.0,1.0,0.1120000034570694,0.0,743.9837646484375,0.24914765357971191,1.0,1.0,900,0.0,0.0,0.1120000034570694,166.67626762390137,7.0,0.9189385771751404,448,0,0.0,1655795283.0,0.1120000034570694,{'runtime': 167},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.7342429625044722,8.0,0.995,ppo,100.0,900.0,0.0014422788859495502,400.0,900.0,3.0,0.0014422788859495502,0.25424678007095014
30,unique-sweep-296,1.0,770,7200.0,2218.57568359375,7.0,0.0111001618206501,770,167.0,-0.07450541853904724,0.027499999850988388,0.08249999582767487,3363.771728515625,0.39546436071395874,-0.05707690864801407,-0.09923048317432404,773,0.0,0.0,0.10999999940395357,165.73991894721985,7.0,0.9189385771751404,770,0,0.0,1655795105.0,0.1924999952316284,{'runtime': 166},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.9793274585714546,8.0,0.995,ppo,100.0,900.0,0.015028905840911244,400.0,900.0,3.0,0.015028905840911244,0.0739859040200554
31,worldly-sweep-295,1.0,382,7200.0,54.678077697753906,7.0,0.013931340537965298,382,342.0,-0.07233691960573196,0.061500001698732376,0.016999999061226845,2906.140869140625,0.2456597238779068,-0.053261127322912216,-0.09633777290582655,470,0.0,0.0,0.07850000262260437,339.0226695537567,7.0,0.9189385771751404,382,0,-16.314727783203125,1655795113.0,0.09549999982118608,{'runtime': 340},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.8365296752862896,8.0,0.995,ppo,64.0,900.0,0.014206274016139414,400.0,900.0,3.0,0.014206274016139414,0.34661016725474186
32,icy-sweep-294,1.0,156,7200.0,13.983078956604004,7.0,0.0,156,163.0,1.0,0.039000000804662704,0.061000000685453415,2709.046142578125,0.2861810028553009,1.0,1.0,87,0.0,0.0,0.10000000149011612,160.83759784698486,7.0,0.9189385771751404,156,0,0.0,1655794929.0,0.16099999845027924,{'runtime': 161},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.6167694934269942,8.0,0.995,ppo,100.0,900.0,0.0016392989544831442,400.0,900.0,3.0,0.0016392989544831442,0.20552650818118268
33,robust-sweep-293,1.0,262,7200.0,105.07799530029295,7.0,0.0,262,172.0,1.0,0.06549999862909317,0.004500001668930054,996.461669921875,0.3688423335552216,1.0,1.0,268,0.0,0.0,0.07000000029802322,170.98728561401367,7.0,0.9189385771751404,262,0,0.0,1655794757.0,0.07450000196695328,{'runtime': 172},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.9114790957164036,8.0,0.995,ppo,100.0,900.0,0.004789507190606085,400.0,900.0,3.0,0.004789507190606085,0.06046972033697248
34,classic-sweep-292,1.0,288,7200.0,9.387408256530762,7.0,0.0,288,355.0,1.0,0.07199999690055847,0.0,14388.685546875,0.28559425473213196,1.0,1.0,900,0.0,0.0,0.07199999690055847,351.8214282989502,7.0,0.9189385771751404,288,0,0.0,1655794756.0,0.07199999690055847,{'runtime': 353},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.7687877368750179,8.0,0.995,ppo,64.0,900.0,0.011144526000563926,400.0,900.0,3.0,0.011144526000563926,0.07268430309849673
35,fine-sweep-291,1.0,404,7200.0,33.58778381347656,7.0,0.005804617423564196,404,175.0,-0.10341551899909972,0.10100000351667404,0.0,13919.64453125,0.310564786195755,-0.08141540735960007,-0.10774368792772292,900,0.0,0.0,0.10100000351667404,174.0518889427185,7.0,0.9189385771751404,404,0,0.0,1655794573.0,0.10100000351667404,{'runtime': 174},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.8220444371830024,8.0,0.995,ppo,100.0,900.0,0.003618592484721758,400.0,900.0,3.0,0.003618592484721758,0.0567904721516496
36,morning-sweep-290,1.0,226,7200.0,13.36309051513672,7.0,0.0,226,170.0,1.0,0.05649999901652336,0.0,14376.79296875,0.2546239495277405,1.0,1.0,900,0.0,0.0,0.05649999901652336,168.79078459739685,7.0,0.9189385771751404,226,0,0.0,1655794386.0,0.05649999901652336,{'runtime': 169},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.8445983551419232,8.0,0.995,ppo,100.0,900.0,0.0022116249549723383,400.0,900.0,3.0,0.0022116249549723383,0.09527905456531896
37,young-sweep-289,1.0,294,7200.0,13.048401832580566,7.0,0.003871697001159191,294,305.0,-0.10398385673761368,0.07349999994039536,0.0,11345.3955078125,0.2124522626399994,-0.09327194839715958,-0.10962051153182983,900,0.0,0.0,0.07349999994039536,301.77592372894287,7.0,0.9189385771751404,294,0,0.0,1655794386.0,0.07349999994039536,{'runtime': 303},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.7351523744486275,8.0,0.995,ppo,64.0,900.0,0.0009309284961948628,400.0,900.0,3.0,0.0009309284961948628,0.272767511801783
38,fiery-sweep-288,1.0,322,7200.0,9.964385986328123,7.0,0.0048528555780649185,322,167.0,-0.07500772923231125,0.08049999922513962,0.0,2492.568359375,0.2770881652832031,-0.060232944786548615,-0.08461840450763702,900,0.0,0.0,0.08049999922513962,164.70490741729736,7.0,0.9189385771751404,322,0,0.0,1655794206.0,0.08049999922513962,{'runtime': 165},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.664651182248414,8.0,0.995,ppo,100.0,900.0,0.0011087592806755511,400.0,900.0,3.0,0.0011087592806755511,0.10327037658114564
39,skilled-sweep-287,1.0,136,7200.0,7.675454616546631,7.0,0.0,136,163.0,1.0,0.03400000184774399,0.0,15037.189453125,0.2049953192472458,1.0,1.0,900,0.0,0.0,0.03400000184774399,160.7594838142395,7.0,0.9189385771751404,136,0,0.0,1655794029.0,0.03400000184774399,{'runtime': 161},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.8857906795480988,8.0,0.995,ppo,100.0,900.0,0.007955962367254576,400.0,900.0,3.0,0.007955962367254576,0.29413110290425215
40,light-sweep-286,1.0,890,7200.0,31.04603385925293,7.0,0.0,890,316.0,1.0,0.2224999964237213,0.0,6896.7724609375,0.30604827404022217,1.0,1.0,900,0.0,0.0,0.2224999964237213,312.25835394859314,7.0,0.9189385771751404,890,0,0.0,1655794070.0,0.2224999964237213,{'runtime': 313},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.7561562845293722,8.0,0.995,ppo,64.0,900.0,0.008590019966876325,400.0,900.0,3.0,0.008590019966876325,0.17352291173916856
41,cool-sweep-285,1.0,410,7200.0,136.33399963378906,7.0,0.0,410,164.0,1.0,0.10249999910593031,0.0,10325.767578125,0.2656651735305786,1.0,1.0,900,0.0,0.0,0.10249999910593031,162.1105453968048,7.0,0.9189385771751404,410,0,0.0,1655793858.0,0.10249999910593031,{'runtime': 163},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.9468309905663886,8.0,0.995,ppo,100.0,900.0,0.004900891600748444,400.0,900.0,3.0,0.004900891600748444,0.3438127589550977
42,worldly-sweep-284,1.0,332,7200.0,13.463415145874023,7.0,0.01109957043081522,332,177.0,-0.0947931706905365,0.0689999982714653,0.006999999284744263,8914.2646484375,0.3085324168205261,-0.07305549085140228,-0.10972099751234056,411,0.0,0.0,0.07599999755620956,174.48079204559326,7.0,0.9189385771751404,332,0,0.0,1655793683.0,0.08299999684095383,{'runtime': 175},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.6014629299538452,8.0,0.995,ppo,100.0,900.0,0.015739624331876454,400.0,900.0,3.0,0.015739624331876454,0.14599474945260968
43,glowing-sweep-283,1.0,318,7200.0,16.4672908782959,7.0,0.0,318,339.0,1.0,0.06350000202655792,0.007999997586011887,7494.5068359375,0.29090040922164917,1.0,1.0,401,0.0,0.0,0.07150000333786011,335.75112318992615,7.0,0.9189385771751404,318,0,0.0,1655793744.0,0.0794999971985817,{'runtime': 337},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.7166174374347866,8.0,0.995,ppo,64.0,900.0,0.013302226485099542,400.0,900.0,3.0,0.013302226485099542,0.1499823005395888
44,jumping-sweep-282,1.0,189,7200.0,35.47692108154297,7.0,0.010975406505167484,370,160.0,-0.09949854016304016,0.0020000000949949026,0.03702927008271217,10929.1259765625,0.33197709918022156,-0.0697772279381752,-0.1088375449180603,338,0.0,0.0,0.04899999871850014,157.7370946407318,7.0,0.9189385771751404,8,181,0.0,1655793495.0,0.0925000011920929,{'runtime': 158},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.79741645301015,8.0,0.995,ppo,100.0,900.0,0.004343806505445319,400.0,900.0,3.0,0.004343806505445319,0.06272725590114918
45,dulcet-sweep-281,1.0,366,7200.0,62.6767692565918,7.0,0.012376036494970322,538,181.0,-0.07888749986886978,0.014000000432133676,0.045778509229421616,3608.468505859375,0.2813384234905243,-0.054890554398298264,-0.10278955101966858,286,0.0,0.0,0.07212500274181366,179.10655426979065,7.0,0.9189385771751404,186,143.814697265625,-21.105979919433594,1655793327.0,0.13449999690055847,{'runtime': 180},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.7667182577369376,8.0,0.995,ppo,100.0,900.0,0.0025414097087238445,400.0,900.0,3.0,0.0025414097087238445,0.2928510681744843
46,scarlet-sweep-280,1.0,90,7200.0,18.58823585510254,7.0,0.0,90,333.0,1.0,0.02250000089406967,0.05750000104308128,3315.31787109375,0.3195950984954834,1.0,1.0,51,0.0,0.0,0.07999999821186066,328.7545359134674,7.0,0.9189385771751404,90,0,0.0,1655793389.0,0.13750000298023224,{'runtime': 330},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.743078471816593,8.0,0.995,ppo,64.0,900.0,0.004611666093469313,400.0,900.0,3.0,0.004611666093469313,0.10265289920734552
47,vital-sweep-279,1.0,644,7200.0,10.30034351348877,7.0,0.0,644,180.0,1.0,0.16099999845027924,0.0,4185.1484375,0.3012189567089081,1.0,1.0,900,0.0,0.0,0.16099999845027924,178.1382372379303,7.0,0.9189385771751404,644,0,0.0,1655793133.0,0.16099999845027924,{'runtime': 179},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.6334563474352706,8.0,0.995,ppo,100.0,900.0,0.001856061778421922,400.0,900.0,3.0,0.001856061778421922,0.16710850460088425
48,royal-sweep-278,1.0,64,7200.0,40.47645950317383,7.0,0.0,64,172.0,1.0,0.01600000075995922,0.0507499985396862,9257.3017578125,0.29435649514198303,1.0,1.0,27,0.0,0.0,0.06674999743700027,170.7680323123932,7.0,0.9189385771751404,64,0,0.0,1655792944.0,0.11749999970197678,{'runtime': 171},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.8686760663892514,8.0,0.995,ppo,100.0,900.0,0.009636263052946624,400.0,900.0,3.0,0.009636263052946624,0.2080314667763015
